"type","file","source","asset","url"
"sticker","stickers-letter-pdfs/001-earthworks-were-first-sticker-qr-letter.pdf","sticker-001","001-earthworks-were-first-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-001&kind=Neighborhood&break=The+old+center+is+treated+like+a+blank+growth+market.&line=The+earthworks+were+first.&asset=001-earthworks-were-first-sticker#field-card"
"poster","posters-8x10-pdfs/001-earthworks-were-first-poster-qr-8x10.pdf","poster-001","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-001&kind=Neighborhood&break=The+old+center+is+treated+like+a+blank+growth+market.&line=The+earthworks+were+first.#field-card"
"sticker","stickers-letter-pdfs/002-signal-seen-confluence-sticker-qr-letter.pdf","sticker-002","002-signal-seen-confluence-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-002&kind=Neighborhood&break=The+confluence+is+treated+like+scenery+instead+of+civic+center.&line=Signal+seen%3A+confluence.&asset=002-signal-seen-confluence-sticker#field-card"
"poster","posters-8x10-pdfs/002-signal-seen-confluence-poster-qr-8x10.pdf","poster-002","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-002&kind=Neighborhood&break=The+confluence+is+treated+like+scenery+instead+of+civic+center.&line=Signal+seen%3A+confluence.#field-card"
"sticker","stickers-letter-pdfs/003-center-before-seal-sticker-qr-letter.pdf","sticker-003","003-center-before-seal-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-003&kind=Neighborhood&break=The+center+is+treated+like+branding+instead+of+public+ground.&line=The+center+was+here+before+the+seal.&asset=003-center-before-seal-sticker#field-card"
"poster","posters-8x10-pdfs/003-center-before-seal-poster-qr-8x10.pdf","poster-003","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-003&kind=Neighborhood&break=The+center+is+treated+like+branding+instead+of+public+ground.&line=The+center+was+here+before+the+seal.#field-card"
"sticker","stickers-letter-pdfs/004-pile-of-projects-sticker-qr-letter.pdf","sticker-004","004-pile-of-projects-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-004&kind=Neighborhood&break=Disconnected+projects+are+standing+in+for+city+form.&line=A+pile+of+projects+is+not+a+city.&asset=004-pile-of-projects-sticker#field-card"
"poster","posters-8x10-pdfs/004-pile-of-projects-poster-qr-8x10.pdf","poster-004","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-004&kind=Neighborhood&break=Disconnected+projects+are+standing+in+for+city+form.&line=A+pile+of+projects+is+not+a+city.#field-card"
"sticker","stickers-letter-pdfs/005-machine-pays-tribute-sticker-qr-letter.pdf","sticker-005","005-machine-pays-tribute-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-005&kind=Machine&break=Water%2C+power%2C+land%2C+tax%2C+compute%2C+or+data+is+being+treated+as+extraction.&line=The+machine+pays+tribute.&asset=005-machine-pays-tribute-sticker#field-card"
"poster","posters-8x10-pdfs/005-machine-pays-tribute-poster-qr-8x10.pdf","poster-005","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-005&kind=Machine&break=Water%2C+power%2C+land%2C+tax%2C+compute%2C+or+data+is+being+treated+as+extraction.&line=The+machine+pays+tribute.#field-card"
"sticker","stickers-letter-pdfs/006-report-dead-wall-sticker-qr-letter.pdf","sticker-006","006-report-dead-wall-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-006&kind=Dead+Wall&break=Blank+frontage.+Dead+street.&line=Density+deserves+beauty.&asset=006-report-dead-wall-sticker#field-card"
"poster","posters-8x10-pdfs/006-report-dead-wall-poster-qr-8x10.pdf","poster-006","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-006&kind=Dead+Wall&break=Blank+frontage.+Dead+street.&line=Density+deserves+beauty.#field-card"
"sticker","stickers-letter-pdfs/007-cota-nervous-system-sticker-qr-letter.pdf","sticker-007","007-cota-nervous-system-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-007&kind=Transit&break=Stop+lacks+shelter%2C+shade%2C+light%2C+crossing%2C+seating%2C+route+information%2C+or+dignity.&line=Transit+is+the+nervous+system.&asset=007-cota-nervous-system-sticker#field-card"
"poster","posters-8x10-pdfs/007-cota-nervous-system-poster-qr-8x10.pdf","poster-007","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-007&kind=Transit&break=Stop+lacks+shelter%2C+shade%2C+light%2C+crossing%2C+seating%2C+route+information%2C+or+dignity.&line=Transit+is+the+nervous+system.#field-card"
"sticker","stickers-letter-pdfs/008-no-more-half-city-sticker-qr-letter.pdf","sticker-008","008-no-more-half-city-sticker","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=sticker-008&kind=Neighborhood&break=This+place+is+treated+like+a+fragment.&line=No+more+half-city.&asset=008-no-more-half-city-sticker#field-card"
"poster","posters-8x10-pdfs/008-no-more-half-city-poster-qr-8x10.pdf","poster-008","","https://neocolumbus.github.io/Project-Columbus/site/signal/?drop=001&source=poster-008&kind=Neighborhood&break=This+place+is+treated+like+a+fragment.&line=No+more+half-city.#field-card"
